Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen,Twentynineteen_growth
World,1370000000000,1430000000000,1530000000000,1650000000000,1810000000000,1970000000000,2130000000000,2270000000000,2450000000000,2700000000000,2960000000000,3270000000000,3780000000000,4610000000000,5320000000000,5920000000000,6440000000000,7280000000000,8580000000000,9970000000000,11200000000000,11600000000000,11500000000000,11700000000000,12200000000000,12800000000000,15100000000000,17200000000000,19200000000000,20100000000000,22600000000000,24000000000000,25500000000000,25900000000000,27800000000000,30900000000000,31600000000000,31500000000000,31400000000000,32600000000000,33600000000000,33400000000000,34700000000000,38900000000000,43900000000000,47500000000000,51500000000000,58000000000000,63700000000000,60400000000000,66100000000000,73400000000000,75100000000000,77300000000000,79500000000000,75200000000000,76300000000000,81200000000000,86400000000000,87700000000000,2.475076547
United States,543000000000,563000000000,605000000000,639000000000,686000000000,744000000000,815000000000,862000000000,943000000000,1020000000000,1070000000000,1160000000000,1280000000000,1430000000000,1550000000000,1680000000000,1870000000000,2080000000000,2350000000000,2630000000000,2860000000000,3210000000000,3340000000000,3630000000000,4040000000000,4340000000000,4580000000000,4860000000000,5240000000000,5640000000000,5960000000000,6160000000000,6520000000000,6860000000000,7290000000000,7640000000000,8070000000000,8580000000000,9060000000000,9630000000000,10300000000000,10600000000000,10900000000000,11500000000000,12200000000000,13000000000000,13800000000000,14500000000000,14700000000000,14400000000000,15000000000000,15500000000000,16200000000000,16800000000000,17500000000000,18200000000000,18700000000000,19500000000000,20500000000000,21400000000000,2.333577492
China,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,114000000000,139000000000,144000000000,163000000000,154000000000,175000000000,150000000000,178000000000,191000000000,196000000000,205000000000,231000000000,260000000000,309000000000,301000000000,273000000000,312000000000,348000000000,361000000000,383000000000,427000000000,445000000000,564000000000,735000000000,864000000000,962000000000,1030000000000,1090000000000,1210000000000,1340000000000,1470000000000,1660000000000,1960000000000,2290000000000,2750000000000,3550000000000,4590000000000,5100000000000,6090000000000,7550000000000,8530000000000,9570000000000,10500000000000,11100000000000,11200000000000,12300000000000,13900000000000,14300000000000,6.108560627
Japan,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,106000000000,124000000000,147000000000,172000000000,213000000000,240000000000,318000000000,432000000000,480000000000,522000000000,586000000000,721000000000,1010000000000,1060000000000,1110000000000,1220000000000,1130000000000,1240000000000,1320000000000,1400000000000,2080000000000,2530000000000,3070000000000,3050000000000,3130000000000,3580000000000,3910000000000,4450000000000,4910000000000,5450000000000,4830000000000,4410000000000,4030000000000,4560000000000,4890000000000,4300000000000,4120000000000,4450000000000,4820000000000,4760000000000,4530000000000,4520000000000,5040000000000,5230000000000,5700000000000,6160000000000,6200000000000,5160000000000,4850000000000,4390000000000,4920000000000,4870000000000,4950000000000,5080000000000,0.65415165
Germany,,,,,,,,,,,216000000000,250000000000,300000000000,398000000000,445000000000,491000000000,520000000000,600000000000,740000000000,881000000000,950000000000,800000000000,777000000000,771000000000,725000000000,733000000000,1050000000000,1300000000000,1400000000000,1400000000000,1770000000000,1870000000000,2130000000000,2070000000000,2210000000000,2590000000000,2500000000000,2210000000000,2240000000000,2190000000000,1940000000000,1940000000000,2070000000000,2500000000000,2810000000000,2850000000000,2990000000000,3420000000000,3730000000000,3400000000000,3400000000000,3740000000000,3530000000000,3730000000000,3880000000000,3360000000000,3470000000000,3670000000000,3950000000000,3850000000000,0.564174893
South Asia,47172093787,50333258390,53723107291,60428041357,69181538978,74298708607,62476963477,68735388741,72041947230,79197830853,85739817097,91198574993,91683239018,105000000000,127000000000,136000000000,133000000000,154000000000,175000000000,196000000000,236000000000,250000000000,259000000000,274000000000,273000000000,297000000000,314000000000,349000000000,375000000000,378000000000,407000000000,362000000000,385000000000,381000000000,432000000000,480000000000,525000000000,551000000000,558000000000,598000000000,630000000000,646000000000,678000000000,791000000000,917000000000,1050000000000,1200000000000,1500000000000,1530000000000,1680000000000,2060000000000,2270000000000,2300000000000,2360000000000,2580000000000,2700000000000,2920000000000,3350000000000,3450000000000,3600000000000,4.832489659
India,37029883875,39232435784,42161481859,48421923459,56480289941,59554854575,45865462034,50134942203,53085455871,58447995017,62422483055,67350988021,71463193830,85515269586,99525899116,98472796457,103000000000,121000000000,137000000000,153000000000,186000000000,193000000000,201000000000,218000000000,212000000000,233000000000,249000000000,279000000000,297000000000,296000000000,321000000000,270000000000,288000000000,279000000000,327000000000,360000000000,393000000000,416000000000,421000000000,459000000000,468000000000,485000000000,515000000000,608000000000,709000000000,820000000000,940000000000,1220000000000,1200000000000,1340000000000,1680000000000,1820000000000,1830000000000,1860000000000,2040000000000,2100000000000,2290000000000,2650000000000,2710000000000,2880000000000,5.023873428
United Kingdom,73233967692,77741965703,81247564157,86561961812,94407558351,102000000000,109000000000,113000000000,108000000000,116000000000,131000000000,148000000000,170000000000,193000000000,206000000000,242000000000,233000000000,263000000000,336000000000,439000000000,565000000000,541000000000,515000000000,490000000000,461000000000,489000000000,601000000000,745000000000,910000000000,927000000000,1090000000000,1140000000000,1180000000000,1060000000000,1140000000000,1340000000000,1420000000000,1560000000000,1650000000000,1680000000000,1660000000000,1640000000000,1780000000000,2050000000000,2420000000000,2540000000000,2710000000000,3100000000000,2920000000000,2410000000000,2480000000000,2660000000000,2700000000000,2790000000000,3060000000000,2930000000000,2690000000000,2670000000000,2860000000000,2830000000000,1.408642101
France,62225478001,67461644222,75607529810,84759195106,94007851047,102000000000,110000000000,119000000000,130000000000,142000000000,148000000000,166000000000,203000000000,264000000000,286000000000,361000000000,372000000000,410000000000,507000000000,614000000000,701000000000,616000000000,585000000000,560000000000,531000000000,553000000000,771000000000,934000000000,1020000000000,1030000000000,1270000000000,1270000000000,1400000000000,1320000000000,1390000000000,1600000000000,1610000000000,1450000000000,1500000000000,1490000000000,1360000000000,1380000000000,1490000000000,1840000000000,2120000000000,2200000000000,2320000000000,2660000000000,2920000000000,2690000000000,2640000000000,2860000000000,2680000000000,2810000000000,2850000000000,2440000000000,2470000000000,2600000000000,2790000000000,2720000000000,1.508594035
Italy,40385288344,44842760293,50383891899,57710743060,63175417019,67978153851,73654870011,81133120065,87942231678,97085082807,113000000000,125000000000,145000000000,175000000000,200000000000,228000000000,225000000000,258000000000,315000000000,394000000000,477000000000,431000000000,427000000000,443000000000,438000000000,452000000000,640000000000,806000000000,892000000000,929000000000,1180000000000,1250000000000,1320000000000,1060000000000,1100000000000,1170000000000,1310000000000,1240000000000,1270000000000,1250000000000,1140000000000,1170000000000,1270000000000,1570000000000,1800000000000,1860000000000,1950000000000,2210000000000,2400000000000,2190000000000,2130000000000,2290000000000,2090000000000,2140000000000,2160000000000,1840000000000,1880000000000,1960000000000,2090000000000,2000000000000,0.301256161
Brazil,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,105000000000,124000000000,153000000000,176000000000,201000000000,225000000000,235000000000,264000000000,282000000000,203000000000,209000000000,223000000000,268000000000,294000000000,330000000000,426000000000,462000000000,603000000000,401000000000,438000000000,558000000000,769000000000,850000000000,883000000000,864000000000,599000000000,655000000000,559000000000,508000000000,558000000000,669000000000,892000000000,1110000000000,1400000000000,1700000000000,1670000000000,2210000000000,2620000000000,2470000000000,2470000000000,2460000000000,1800000000000,1800000000000,2060000000000,1890000000000,1840000000000,1.136585572
Canada,40461721693,40934952064,42227447632,45029988561,49377522897,54515179581,61088384037,65668655501,71829810520,79148411662,87896095224,99271961478,113000000000,131000000000,160000000000,174000000000,207000000000,212000000000,219000000000,243000000000,274000000000,306000000000,314000000000,341000000000,355000000000,365000000000,377000000000,431000000000,507000000000,565000000000,594000000000,610000000000,592000000000,577000000000,578000000000,604000000000,629000000000,653000000000,632000000000,676000000000,742000000000,736000000000,758000000000,892000000000,1020000000000,1170000000000,1320000000000,1460000000000,1550000000000,1370000000000,1610000000000,1790000000000,1830000000000,1850000000000,1800000000000,1560000000000,1530000000000,1650000000000,1720000000000,1740000000000,1.656040854
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555000000000,507000000000,517000000000,518000000000,460000000000,435000000000,395000000000,396000000000,392000000000,405000000000,271000000000,196000000000,260000000000,307000000000,345000000000,430000000000,591000000000,764000000000,990000000000,1300000000000,1660000000000,1220000000000,1520000000000,2050000000000,2210000000000,2290000000000,2060000000000,1360000000000,1280000000000,1570000000000,1670000000000,1700000000000,1.341875441
South Korea,3958190759,2417558289,2814318517,3988784572,3458939358,3120833333,3928908381,4855907142,6119284294,7678581344,9005023184,9903499928,10862327878,13876531432,19544094741,21784297521,29902479339,38446487603,51972107438,66946900826,65398646758,72933350954,78358866335,87760360941,97510235986,101000000000,117000000000,148000000000,200000000000,247000000000,283000000000,331000000000,356000000000,393000000000,464000000000,567000000000,610000000000,570000000000,383000000000,498000000000,576000000000,548000000000,627000000000,703000000000,793000000000,935000000000,1050000000000,1170000000000,1050000000000,944000000000,1140000000000,1250000000000,1280000000000,1370000000000,1480000000000,1470000000000,1500000000000,1620000000000,1720000000000,1640000000000,2.033150971
Spain,12072126075,13834300571,16138545209,19074913948,21343844644,24756958695,28721062242,31647119228,31475548481,36038711600,40992995959,46619420120,59132415739,78639527127,97274005192,115000000000,119000000000,132000000000,161000000000,215000000000,233000000000,203000000000,196000000000,171000000000,172000000000,181000000000,251000000000,319000000000,376000000000,415000000000,537000000000,577000000000,631000000000,525000000000,531000000000,615000000000,643000000000,590000000000,619000000000,635000000000,597000000000,627000000000,705000000000,905000000000,1070000000000,1150000000000,1260000000000,1470000000000,1630000000000,1490000000000,1420000000000,1480000000000,1320000000000,1350000000000,1370000000000,1200000000000,1230000000000,1310000000000,1420000000000,1390000000000,1.979100561
Australia,18577668272,19652816665,19892485161,21507447643,23764139321,25936835032,27268451114,30397580916,32665472057,36628961810,41271138985,45149512823,51967289720,63737347854,88831245394,97170558514,105000000000,110000000000,118000000000,135000000000,150000000000,177000000000,194000000000,177000000000,193000000000,180000000000,182000000000,189000000000,236000000000,299000000000,311000000000,325000000000,325000000000,312000000000,322000000000,367000000000,400000000000,435000000000,399000000000,389000000000,415000000000,378000000000,395000000000,466000000000,612000000000,693000000000,746000000000,853000000000,1050000000000,928000000000,1150000000000,1400000000000,1550000000000,1580000000000,1470000000000,1350000000000,1210000000000,1330000000000,1430000000000,1390000000000,1.89682574
Mexico,13040000000,14160000000,15200000000,16960000000,20080000000,21840000000,24320000000,26560000000,29360000000,32480000000,35520000000,39200000000,45200000000,55280000000,72000000000,88000000000,89025974026,81814159292,103000000000,135000000000,205000000000,264000000000,185000000000,156000000000,184000000000,195000000000,135000000000,148000000000,182000000000,221000000000,261000000000,313000000000,363000000000,501000000000,528000000000,360000000000,411000000000,500000000000,527000000000,600000000000,708000000000,757000000000,772000000000,729000000000,782000000000,877000000000,975000000000,1050000000000,1110000000000,900000000000,1060000000000,1180000000000,1200000000000,1270000000000,1310000000000,1170000000000,1080000000000,1160000000000,1220000000000,1260000000000,-0.145602325
Indonesia,,,,,,,,5667756645,7076465295,8337423313,9150684932,9333536360,10997590361,16273253012,25802409639,30463855422,37269156627,45808915663,51455719100,51400186379,72482337370,85518233451,90158449307,81052283405,84853699994,85289491750,79954072570,75929617577,84300174477,94451427898,106000000000,117000000000,128000000000,158000000000,177000000000,202000000000,227000000000,216000000000,95445547873,140000000000,165000000000,160000000000,196000000000,235000000000,257000000000,286000000000,365000000000,432000000000,510000000000,540000000000,755000000000,893000000000,918000000000,913000000000,891000000000,861000000000,932000000000,1020000000000,1040000000000,1120000000000,5.024714022
